EXTRACTED_DATE,EXTRACTED_TIME,STOCK_NAME,EXTRACTED_PRICE
18-12-2025,05:26:32,YESBANK,21.47
18-12-2025,05:26:35,YESBANK,21.47
18-12-2025,05:26:35,YESBANK,21.47
18-12-2025,05:26:36,YESBANK,21.47
18-12-2025,05:26:39,YESBANK,21.47
18-12-2025,05:26:41,YESBANK,21.47
18-12-2025,05:26:42,YESBANK,21.47
18-12-2025,05:26:43,YESBANK,21.47
18-12-2025,05:26:46,YESBANK,21.47
18-12-2025,05:26:46,YESBANK,21.47
18-12-2025,05:26:47,YESBANK,21.47
18-12-2025,05:26:50,YESBANK,21.47
18-12-2025,05:26:53,YESBANK,21.47
18-12-2025,05:26:54,YESBANK,21.47
18-12-2025,05:26:54,YESBANK,21.47
18-12-2025,05:26:57,YESBANK,21.48
18-12-2025,05:26:57,YESBANK,21.48
18-12-2025,05:26:58,YESBANK,21.48
18-12-2025,05:27:01,YESBANK,21.48
18-12-2025,05:27:03,YESBANK,21.47
18-12-2025,05:27:04,YESBANK,21.47
18-12-2025,05:27:05,YESBANK,21.47
18-12-2025,05:27:05,YESBANK,21.47
18-12-2025,05:27:08,YESBANK,21.47
18-12-2025,05:27:08,YESBANK,21.47
18-12-2025,05:27:09,YESBANK,21.47
18-12-2025,05:27:12,YESBANK,21.47
18-12-2025,05:27:14,YESBANK,21.47
18-12-2025,05:27:15,YESBANK,21.48
18-12-2025,05:27:15,YESBANK,21.48
18-12-2025,05:27:16,YESBANK,21.48
18-12-2025,05:27:19,YESBANK,21.48
18-12-2025,05:27:19,YESBANK,21.48
18-12-2025,05:27:20,YESBANK,21.47
18-12-2025,05:27:23,YESBANK,21.47
18-12-2025,05:27:24,YESBANK,21.47
18-12-2025,05:27:26,YESBANK,21.47
18-12-2025,05:27:26,YESBANK,21.47
18-12-2025,05:27:27,YESBANK,21.47
18-12-2025,05:27:30,YESBANK,21.47
18-12-2025,05:27:30,YESBANK,21.47
18-12-2025,05:27:31,YESBANK,21.48
18-12-2025,05:27:34,YESBANK,21.48
18-12-2025,05:27:35,YESBANK,21.48
18-12-2025,05:27:37,YESBANK,21.48
18-12-2025,05:27:37,YESBANK,21.48
18-12-2025,05:27:38,YESBANK,21.48
18-12-2025,05:27:41,YESBANK,21.48
18-12-2025,05:27:41,YESBANK,21.48
18-12-2025,05:27:42,YESBANK,21.48
18-12-2025,05:27:45,YESBANK,21.48
18-12-2025,05:27:46,YESBANK,21.48
18-12-2025,05:27:48,YESBANK,21.48
18-12-2025,05:27:48,YESBANK,21.48
18-12-2025,05:27:49,YESBANK,21.48
18-12-2025,05:27:52,YESBANK,21.48
18-12-2025,05:27:52,YESBANK,21.48
18-12-2025,05:27:53,YESBANK,21.48
18-12-2025,05:27:56,YESBANK,21.48
18-12-2025,05:27:57,YESBANK,21.48
18-12-2025,05:27:59,YESBANK,21.48
18-12-2025,05:27:59,YESBANK,21.48
18-12-2025,05:28:00,YESBANK,21.48
18-12-2025,05:28:02,YESBANK,21.48
18-12-2025,05:28:03,YESBANK,21.48
18-12-2025,05:28:03,YESBANK,21.48
18-12-2025,05:28:04,YESBANK,21.48
18-12-2025,05:28:07,YESBANK,21.48
18-12-2025,05:28:08,YESBANK,21.48
18-12-2025,05:28:09,YESBANK,21.48
18-12-2025,05:28:10,YESBANK,21.48
18-12-2025,05:28:11,YESBANK,21.48
18-12-2025,05:28:13,YESBANK,21.48
18-12-2025,05:28:14,YESBANK,21.49
18-12-2025,05:28:14,YESBANK,21.49
18-12-2025,05:28:15,YESBANK,21.49
18-12-2025,05:28:18,YESBANK,21.49
18-12-2025,05:28:19,YESBANK,21.49
18-12-2025,05:28:20,YESBANK,21.49
18-12-2025,05:28:21,YESBANK,21.49
18-12-2025,05:28:22,YESBANK,21.49
18-12-2025,05:28:24,YESBANK,21.49
18-12-2025,05:28:25,YESBANK,21.49
18-12-2025,05:28:25,YESBANK,21.49
18-12-2025,05:28:26,YESBANK,21.49
18-12-2025,05:28:29,YESBANK,21.49
18-12-2025,05:28:30,YESBANK,21.49
18-12-2025,05:28:31,YESBANK,21.49
18-12-2025,05:28:32,YESBANK,21.49
18-12-2025,05:28:33,YESBANK,21.49
18-12-2025,05:28:35,YESBANK,21.49
18-12-2025,05:28:36,YESBANK,21.49
18-12-2025,05:28:37,YESBANK,21.48
18-12-2025,05:28:38,YESBANK,21.48
18-12-2025,05:28:40,YESBANK,21.48
18-12-2025,05:28:41,YESBANK,21.48
18-12-2025,05:28:42,YESBANK,21.48
18-12-2025,05:28:43,YESBANK,21.48
18-12-2025,05:28:44,YESBANK,21.48
18-12-2025,05:28:46,YESBANK,21.48
18-12-2025,05:28:47,YESBANK,21.48
18-12-2025,05:28:48,YESBANK,21.48
18-12-2025,05:28:49,YESBANK,21.49
18-12-2025,05:28:51,YESBANK,21.49
18-12-2025,05:28:52,YESBANK,21.49
18-12-2025,05:28:53,YESBANK,21.49
18-12-2025,05:28:54,YESBANK,21.49
18-12-2025,05:28:55,YESBANK,21.49
18-12-2025,05:28:57,YESBANK,21.49
18-12-2025,05:28:58,YESBANK,21.49
